﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,mafia6,https://forums.hardwarezone.com.sg/members/mafia6.175830/,Supremacy Member,"Jan 24, 2022","Hi all, recently decided to leave my job to take a year off to travel/study short courses.

Can i ask if me and my fiance decide to try BTO 3rm (most likely Jurong/Tengah area to maximise chances) if cannot then resale next year and we want to maximise grants. Only she needs to be employed continously for 12 mths in order for us to be eligible right, don't need both parties to be employed? My income will be $0 while hers is $3.6k so our household income = 3.6k and EHG = 55k (based on current rules). Is my understanding correct?

Thanks in advance."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,MrMundy,https://forums.hardwarezone.com.sg/members/mrmundy.556714/,Master Member,"Feb 17, 2022","sexperts please advise.
if my partner is a PR with a house under her name, if she were to transfer the ownership now, are we eligible for BTO?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"Feb 18, 2022","MrMundy said:
sexperts please advise.
if my partner is a PR with a house under her name, if she were to transfer the ownership now, are we eligible for BTO?
You have to wait 30 months after she has transferred the ownership before you all can apply for BTO."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,getsourmuffins,https://forums.hardwarezone.com.sg/members/getsourmuffins.438951/,Member,"Feb 24, 2022","Question. For first time resale grant, can you use that money to offset your initial down payment via cpf? Or you have to pay first and they top up your cpf back?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Apr 25, 2022","Submitting my resale application, got another question

2. I have checked that I am eligible and would like to apply for the Proximity Housing Grant


Reasons for not applying proximity housing grant:
- I want to reserve my PHG for future purchase of resale flat
- I am not staying together/near my parents/ married child/ single child aged 35 or above
- Other reasons

What's the underlined and bolded sentence sia.
Means I if I'm eligible, but choose not to take, I can purchase a resale flat today, not use proximity grant now.
When 5 years after MOP, I sell the resale flat, and purchase another resale flat near my parents, I can apply for Proximity Grant then (5 years later)? Because I didn't use that grant today.

What about selecting other reasons? Does it mean that if I choose other reasons, or i am not staying together/near/blah blah, means automatically I'll not be eligible for proximity grants in the future, even when i didn't take proximity grant today?

Edited:
Ok saw Dollar&Sense article liao. If I don't take the Proximity Grant now, I can still take it next time. Proximity Grant can take once in total."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,halfnode,https://forums.hardwarezone.com.sg/members/halfnode.310020/,Senior Member,"Apr 26, 2022","mafia6 said:
Hi all, recently decided to leave my job to take a year off to travel/study short courses.

Can i ask if me and my fiance decide to try BTO 3rm (most likely Jurong/Tengah area to maximise chances) if cannot then resale next year and we want to maximise grants. Only she needs to be employed continously for 12 mths in order for us to be eligible right, don't need both parties to be employed? My income will be $0 while hers is $3.6k so our household income = 3.6k and EHG = 55k (based on current rules). Is my understanding correct?

Thanks in advance.
Click to expand...
Yes. Some ppl do do that if they can afford one spouse not to work"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"May 20, 2021","maisianmaisian said:
I am marrying a divorcee who has an EC. Am I counted as a first-timer? Would like to know if I can still apply for house to get a grant? BTO possible? Else a resale.
You are still definitely entitled to your share of the grant when u purchase an HDB. If both of you are getting a BTO, then your future wife who currently own an EC will need to dispose of her EC and wait 30 months before you can apply for BTO. For resale, the EC must be disposed off within 6 months from the resale completion."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Ronaldo88,https://forums.hardwarezone.com.sg/members/ronaldo88.347651/,Arch-Supremacy Member,"May 25, 2021","I am planning to buy resale flat under non citizen spouse scheme.Will apply for single grant, enhanced housing grant or even proximity grant. At which stage of the resale transaction do I need to present marriage cert for the grants submission?
I am getting married and buying resale at the same time"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Pueh Kee,https://forums.hardwarezone.com.sg/members/pueh-kee.350615/,Supremacy Member,"Jun 9, 2021","Hello

can anyone advise?
Im a first timer who want to apply for housing grant with my gf for resale flat.
But as i understand, the grant require past 15 month contribution and 12 month payslip, but i dont have payslip for some months as during then we didnt have to go back to office and so some months it wasn distributed and now i have changed job. I can however prove the salry via cpf contribution.
Also i have been working continuously for 5 year now.

so my question is, without the payslip i really cannot apply for housing grant? This is cos these are the required documents"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,icebandung,https://forums.hardwarezone.com.sg/members/icebandung.795317/,Junior Member,"Jun 28, 2021","Ronaldo88 said:
I am planning to buy resale flat under non citizen spouse scheme.Will apply for single grant, enhanced housing grant or even proximity grant. At which stage of the resale transaction do I need to present marriage cert for the grants submission?
I am getting married and buying resale at the same time
i'm guessing at the resale application stage? cos that's when you need to submit documents such as marriage cert. best is to register your intent to buy on the resale portal to check your eligibility."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,icebandung,https://forums.hardwarezone.com.sg/members/icebandung.795317/,Junior Member,"Jun 28, 2021","Pueh Kee said:
Hello

can anyone advise?
Im a first timer who want to apply for housing grant with my gf for resale flat.
But as i understand, the grant require past 15 month contribution and 12 month payslip, but i dont have payslip for some months as during then we didnt have to go back to office and so some months it wasn distributed and now i have changed job. I can however prove the salry via cpf contribution.
Also i have been working continuously for 5 year now.

so my question is, without the payslip i really cannot apply for housing grant? This is cos these are the required documents
Click to expand...
no you don't need so many months of payslip. just need 3 months if you're employed full time, or 6 months if you're working on other types of employment like commission basis or part time. can check for more details on the hdb website under resale eligibility"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,CL0408,https://forums.hardwarezone.com.sg/members/cl0408.802538/,Junior Member,"Sep 15, 2021",I will be buying a resale under Single Scheme. Is there any income cap to be eligible for Proximity to Parents grant? What happens when my parents sell their flat few years down the road? Thank you for your response.
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"Sep 15, 2021","CL0408 said:
I will be buying a resale under Single Scheme. Is there any income cap to be eligible for Proximity to Parents grant? What happens when my parents sell their flat few years down the road? Thank you for your response.
For proximity grant, there is no income cap. Your parents will not be able to sell their flat away in the next 5 years. they are required to sign a declaration when you purchase your resale unit. So if they intend to sell it within the next 5 years, then not recommended for you to take the proximity grant."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,yourong,https://forums.hardwarezone.com.sg/members/yourong.188998/,Member,"Oct 30, 2021","Any idea if I'm in a resale flat (still under Mop, 3+ years done) bought from the open market, without any housing grants taken, will hdb allow me to ballot for BTO?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Oct 31, 2021","yourong said:
Any idea if I'm in a resale flat (still under Mop, 3+ years done) bought from the open market, without any housing grants taken, will hdb allow me to ballot for BTO?
Not yet reach MOP,
resale flat (with or without grant), owner not allowed to do any application for any BTO.

Many years ago, possible.
Loop hole closed.

Wait till 5yrs MOP before u can do anything.

Pls click : Discussion in Year 2017 regarding early application of BTO before meeting MOP of existing flat."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Nov 9, 2021","How does the housing grant work ah?

I'm looking at this 4room resale hdb for 740k~. Probably going to be 40k COV.
I can get roughly 85k of subsidies available, and another 80k or so available in my CPF.
So that 85k subsidies will be placed inside my CPF, meaning my CPF will have around 165k in CPF when i purchase the house?
Meaning out of the 740k, i can utilize 165k in CPF (80k + 85k). 40k (COV) must be paid in cash, while the remaining can be paid through a combination cash upfront and HDB loans?

Meaning my liquid cash + HDB loans must be at least S$575k so that i can purchase the house?

(LTV ratio of 90% means maximum loan usable is roughly 630k~)

Sorry stupid question, but failed BTO/SBF application for 10x liao, need to start looking at resale flats already."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"Nov 9, 2021","FroztSpectre said:
How does the housing grant work ah?

I'm looking at this 4room resale hdb for 740k~. Probably going to be 40k COV.
I can get roughly 85k of subsidies available, and another 80k or so available in my CPF.
So that 85k subsidies will be placed inside my CPF, meaning my CPF will have around 165k in CPF when i purchase the house?
Meaning out of the 740k, i can utilize 165k in CPF (80k + 85k). 40k (COV) must be paid in cash, while the remaining can be paid through a combination cash upfront and HDB loans?

Meaning my liquid cash + HDB loans must be at least S$575k so that i can purchase the house?

(LTV ratio of 90% means maximum loan usable is roughly 630k~)

Sorry stupid question, but failed BTO/SBF application for 10x liao, need to start looking at resale flats already.
Click to expand...
Have you done your HLE, with the HLE, you will know what is the maximum amt of loan HDB will grant you and from there you can work backward.

Regarding the housing grant, Once HDB give you the grant, it will be deposited into your CPF before completion for you to use it to pay for the resale flat."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Nov 9, 2021","todomachi said:
Have you done your HLE, with the HLE, you will know what is the maximum amt of loan HDB will grant you and from there you can work backward.

Regarding the housing grant, Once HDB give you the grant, it will be deposited into your CPF before completion for you to use it to pay for the resale flat.
Yep.

But HLE is < 90% of LTV."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"Nov 9, 2021","FroztSpectre said:
Yep.

But HLE is < 90% of LTV.
In short, assuming the valuation is $700K as per what you think it is, You can use $700K - $80K CPFOA - $85K Grant = $535K (Estimated Loan Amt). If your HLE loan amount is less than this $535K, the shortfall will need to be paid in cash.

For HDB Loan, they usually will want to wipe out all your CPF first before determining the loan amount for you. You can have a choice to want to keep up to 20K in your OA.

Then for your cash component, it will be that COV of $40K (inclusive of the $5K option fee) + stamp duty $16,800 (can also use CPF if u want and have enough) +HDB admin fee and legal fee (less than 1K)"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Nov 10, 2021","todomachi said:
In short, assuming the valuation is $700K as per what you think it is, You can use $700K - $80K CPFOA - $85K Grant = $535K (Estimated Loan Amt). If your HLE loan amount is less than this $535K, the shortfall will need to be paid in cash.

For HDB Loan, they usually will want to wipe out all your CPF first before determining the loan amount for you. You can have a choice to want to keep up to 20K in your OA.

Then for your cash component, it will be that COV of $40K (inclusive of the $5K option fee) + stamp duty $16,800 (can also use CPF if u want and have enough) +HDB admin fee and legal fee (less than 1K)
Click to expand...
Thanks, straight forward and easy to understand."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Nov 14, 2021","(The unit i was looking at kena outbid and sold already, sad...)

Another stupid question then,
Let's say there isn't anymore good units available out there, can i choose to buy a 3 room resale currently without any HDB grants/subsidies. After my 5years MOP, I can start BTOing again while still being considered a first time applicant, have ""priority"" for BTOs as well as still be eligible for all the grants right? Alternatively, I can still go for a resale flat and utilize any grants available then."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Oftheseas,https://forums.hardwarezone.com.sg/members/oftheseas.806574/,Senior Member,"Nov 15, 2021","FroztSpectre said:
(The unit i was looking at kena outbid and sold already, sad...)

Another stupid question then,
Let's say there isn't anymore good units available out there, can i choose to buy a 3 room resale currently without any HDB grants/subsidies. After my 5years MOP, I can start BTOing again while still being considered a first time applicant, have ""priority"" for BTOs as well as still be eligible for all the grants right? Alternatively, I can still go for a resale flat and utilize any grants available then.
Pls consider your age and your salary when you want to change strategy. In 5 years time, your salary might disqualified you from BTO or certain grants. Public housing policy might change looking at how chaotic current prices are going.

I will always suggest seizes the opportunity when it’s here. Especially when many things are beyond your control."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,FroztSpectre,https://forums.hardwarezone.com.sg/members/froztspectre.287174/,Arch-Supremacy Member,"Nov 15, 2021","Oftheseas said:
your age and your salary when you want to change strategy. In 5 years time, your salary might disqualified you from BTO or certain grants. Public housing policy might change looking at how chaotic current prices are going.
Me and my SO are in our late 20s. I honestly doubt we'll exceed the basic monthly combined income limit of 14k in the next 5 years.

There's this new BTO that's still undergoing construction at Area ""X"" (since 3 years back). My SO is still interested in that particular BTO, hence i came up with the idea of buying a resale flat for 5 years without any grant, then continue applying for better locations BTOs meanwhile, or buying the Area ""X"" freshly MOPed house after 5 years. This way, we'll still be considered first time applicants for BTO, and will still be eligible for any resale grants if we're getting resale flat after 5 years.

Not sure if that's possible though."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Oftheseas,https://forums.hardwarezone.com.sg/members/oftheseas.806574/,Senior Member,"Nov 15, 2021","FroztSpectre said:
Me and my SO are in our late 20s. I honestly doubt we'll exceed the basic monthly combined income limit of 14k in the next 5 years.

There's this new BTO that's still undergoing construction at Area ""X"" (since 3 years back). My SO is still interested in that particular BTO, hence i came up with the idea of buying a resale flat for 5 years without any grant, then continue applying for better locations BTOs meanwhile, or buying the Area ""X"" freshly MOPed house after 5 years. This way, we'll still be considered first time applicants for BTO, and will still be eligible for any resale grants if we're getting resale flat after 5 years.

Not sure if that's possible though.
Click to expand...

Not exceed $14k but might exceed $9k ? Grants will be much, much lower.

Late 20s and just starting a family is using involves future space concerns and schools considerations. Buying a 3-rm and waiting at least 6 years for that area X resale need a lot of planning. In fact, it will require all stars to be aligned !

Make sure of exit plan for the 3-rm, availability & suitability of area X in 6/7 years time, proper family planning, salary cap, etc."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Nov 16, 2021","FroztSpectre said:
hence i came up with the idea of buying a resale flat for 5 years without any grant, then continue applying for better locations BTOs meanwhile,
Once buy resale flat, only can apply BTO after the 5yrs MOP of resale flat is over (no grant taken for current resale flat, also no diff to this rule. )

They already tweak this few yrs ago, so forget whatever you read which was written many years ago that say it is possible to apply BTO"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,todomachi,https://forums.hardwarezone.com.sg/members/todomachi.230162/,Senior Member,"Nov 16, 2021",to add on what Vinz has shared. Assuming you get your resale now. The next unit if it is a BTO that u are getting is gonna take a long time. (5 years current MOP + 4 to 6 yrs construction plus successfully ballot) - 9 to 11 years is a long time.
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ashethen,https://forums.hardwarezone.com.sg/members/ashethen.205765/,Arch-Supremacy Member,"Jul 28, 2020","if i were to buy an EC under the joint singles scheme (no grant taken, since none offered), will i still be eligible for any CPF grant after i sold the EC and bought resale HDB under singles scheme?


Singles Grant eligibility said:
You must be a first-timer applicant, meaning that you must meet the following criteria:

Not the owner of a flat bought from HDB, or an Executive Condominium (EC) or Design, Build and Sell Scheme (DBSS) flat bought from a developer
Not sold a flat bought from HDB, or an EC/ DBSS flat bought from a developer
Not received any CPF Housing Grant for the purchase of an HDB resale flat
Not received any form of housing subsidy, e.g. benefitted under the Selective En bloc Redevelopment Scheme (SERS), HUDC estate privatisation
Click to expand...

this means i wont be eligible for any grant is it?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Jul 28, 2020","Grant = special privilege (extra funds to pay downpayment)
Brand new BTO, Brand new EC = special privilege (discounted price from resale)

After getting 1 time special privilege, there is no longer any grant for future housing,
and if applying for next BTO, need to pay resale levy.

-vinz"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,dimitri_can,https://forums.hardwarezone.com.sg/members/dimitri_can.205685/,Supremacy Member,"Sep 23, 2020","James94 said:
Hi Everyone, just have a few questions regarding the new EHG. Sorry if my questions are dumb but i can’t seem to find the answers clearly. Hope someone can help out

1. For the EHG, when will the money be credited to your CPF OA account?
2. Can i use the grant that is credited to my OA account to pay for my initial down payment of my BTO?
3. i am in Uni now and my gf is currently working, however, i understand she has to be working consecutive 12 months, she worked 15 months already but in between she had a 1 month break to find a new job. Understand it is not considered 12 consecutive month like that. Any way to still get the grant? Or anyone tried appealing before? Hope someone can help

Thank you!
Click to expand...
1. For my singles grant, I only got it around 1.5 months before completion...
2. Should be able to. Check with the agent. I used the grant to pay for my resale.
3. Ask MP for help?

Good luck."
